agent_id,location_id,hire_date
AG0338,LOC139,2024-01-04
AG0339,LOC140,2025-03-24
AG0340,LOC140,2026-01-04
AG0341,LOC140,2023-09-02
AG0342,LOC141,2026-03-01
AG0343,LOC141,2024-11-03
AG0344,LOC141,2024-01-15
AG0345,LOC142,2023-11-21
AG0346,LOC143,2023-11-05
AG0347,LOC143,2024-06-14
AG0348,LOC143,2025-07-18
AG0349,LOC143,2025-09-16
AG0350,LOC144,2025-09-25
AG0351,LOC144,2026-05-04
AG0352,LOC144,2024-04-17
AG0353,LOC144,2024-09-04
AG0354,LOC145,2023-09-27
AG0355,LOC145,2025-04-04
AG0356,LOC145,2024-08-20
AG0357,LOC145,2023-12-20
AG0358,LOC146,2025-01-08
AG0359,LOC146,2024-05-15
AG0360,LOC146,2024-06-03
AG0361,LOC146,2023-10-29
AG0362,LOC147,2023-08-02
AG0363,LOC147,2025-05-12
AG0364,LOC147,2025-01-24
AG0365,LOC148,2025-10-13
AG0366,LOC148,2024-06-12
AG0367,LOC148,2024-09-12
AG0368,LOC148,2026-05-07
AG0369,LOC149,2026-02-23
AG0370,LOC149,2024-02-12
AG0371,LOC150,2025-05-05
AG0372,LOC150,2024-01-04
